Year,Units,Art der Belästigung,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Prozent,Nicht-sexuelle Belästigung,,Weiblich,,,,0.0395
2019,Prozent,Nicht-sexuelle Belästigung,,Weiblich,,,,0.0394
2020,Prozent,Nicht-sexuelle Belästigung,,Weiblich,,,,0.0408
2021,Prozent,Nicht-sexuelle Belästigung,,Weiblich,,,,0.0426
2022,Prozent,Nicht-sexuelle Belästigung,,Weiblich,,,,0.0445
2023,Prozent,Nicht-sexuelle Belästigung,,Weiblich,,,,0.0476
2024,Prozent,Nicht-sexuelle Belästigung,,Weiblich,,,,0.0505
2010,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0149
2011,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0139
2012,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0131
2013,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0128
2014,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0117
2015,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0103
2016,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0095
2017,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0093
2018,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0094
2019,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0093
2020,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0099
2021,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0109
2022,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.011
2023,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0123
2024,Prozent,Nicht-sexuelle Belästigung,,Männlich,,,,0.0129
2010,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0043
2011,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0045
2012,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0047
2013,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0047
2014,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0042
2015,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0037
2016,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0036
2017,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0036
2018,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0036
2019,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0041
2020,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0039
2021,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0041
2022,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0043
2023,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,0.0053
2024,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,,,,,0.0063
2010,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0055
2011,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0059
2012,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.007
2013,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0062
2014,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0059
2015,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,0,,,0.0049
2016,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,0,,,0.0048
2017,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,0,,,0.0046
2018,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0051
2019,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0051
2020,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,0,,,0.0047
2021,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0055
2022,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.006
2023,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0067
2024,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Weiblich,,,,0.0076
2010,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0033
2011,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0032
2012,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0026
2013,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0033
2014,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0025
2015,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0026
2016,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0024
2017,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0026
2018,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0022
2019,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0032
2020,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0031
2021,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0028
2022,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0027
2023,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.0041
2024,Prozent,Nicht-sexuelle Belästigung,13 Jahre und jünger,Männlich,0,,,0.005
2010,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.04
2011,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0308
2012,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0277
2013,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0287
2014,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0268
2015,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0207
2016,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0207
2017,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0216
2018,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0212
2019,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0221
2020,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0203
2021,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0217
2022,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0272
2023,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0301
2024,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,0.0327
2010,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0722
2011,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.056
2012,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0512
2013,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0524
2014,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0489
2015,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0375
2016,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0378
2017,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0387
2018,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0396
2019,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.039
2020,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0347
2021,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0373
2022,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0468
2023,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0527
2024,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,0.0545
2010,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0095
2011,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0069
2012,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0054
2013,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0063
2014,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0059
2015,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,0,,,0.005
2016,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,0,,,0.0048
2017,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0056
2018,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,0,,,0.0038
2019,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0061
2020,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0067
2021,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0069
2022,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0087
2023,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0089
2024,Prozent,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,0.0123
2010,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0888
2011,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0848
2012,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0812
2013,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0718
2014,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0673
2015,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0555
2016,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0482
2017,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0514
2018,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0568
2019,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0508
2020,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0568
2021,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0591
2022,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0563
2023,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0592
2024,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,0.0653
2010,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1611
2011,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1534
2012,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1473
2013,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1322
2014,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.124
2015,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1046
2016,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.0921
2017,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.0982
2018,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1061
2019,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.0956
2020,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1069
2021,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1076
2022,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1032
2023,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.1057
2024,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,0.119
2010,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0198
2011,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0193
2012,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0181
2013,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0145
2014,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.014
2015,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0104
2016,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0086
2017,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0092
2018,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0121
2019,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0099
2020,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0105
2021,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0137
2022,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0121
2023,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0159
2024,Prozent,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,0.0161
2010,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0521
2011,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0499
2012,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0493
2013,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.048
2014,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0435
2015,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0397
2016,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0375
2017,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0371
2018,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0381
2019,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0384
2020,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0405
2021,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0429
2022,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.045
2023,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0486
2024,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,0.0517
2010,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.084
2011,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0803
2012,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0803
2013,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0779
2014,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0708
2015,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0651
2016,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0621
2017,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0615
2018,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0633
2019,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0641
2020,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0672
2021,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0707
2022,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0746
2023,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0801
2024,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,0.0858
2010,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0209
2011,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0198
2012,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0188
2013,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0186
2014,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0169
2015,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0151
2016,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0138
2017,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0136
2018,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0138
2019,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0135
2020,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0146
2021,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0161
2022,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0164
2023,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0181
2024,Prozent,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,0.0188
2010,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0077
2011,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.007
2012,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0069
2013,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0066
2014,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0063
2015,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0057
2016,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0055
2017,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0052
2018,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0054
2019,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0054
2020,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0054
2021,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0059
2022,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0064
2023,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.0071
2024,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,0.007
2010,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0082
2011,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0074
2012,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0075
2013,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0074
2014,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0072
2015,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0066
2016,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0063
2017,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0063
2018,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0062
2019,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0065
2020,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0065
2021,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0069
2022,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0076
2023,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0084
2024,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Weiblich,,,,0.0082
2010,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.0072
2011,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.0066
2012,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.0062
2013,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.0056
2014,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.0052
2015,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,0,,,0.0045
2016,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,0,,,0.0046
2017,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,0,,,0.0038
2018,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,0,,,0.0044
2019,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,0,,,0.0041
2020,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,0,,,0.0041
2021,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,0,,,0.0048
2022,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,0,,,0.0048
2023,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.0054
2024,Prozent,Nicht-sexuelle Belästigung,60 Jahre und älter,Männlich,,,,0.0056
2010,Prozent,Sexuelle Belästigung,,,,,,0.0092
2011,Prozent,Sexuelle Belästigung,,,,,,0.01
2012,Prozent,Sexuelle Belästigung,,,,,,0.0103
2013,Prozent,Sexuelle Belästigung,,,,,,0.0101
2014,Prozent,Sexuelle Belästigung,,,,,,0.0103
2015,Prozent,Sexuelle Belästigung,,,,,,0.0102
2016,Prozent,Sexuelle Belästigung,,,,,,0.0105
2017,Prozent,Sexuelle Belästigung,,,,,,0.0102
2018,Prozent,Sexuelle Belästigung,,,,,,0.0107
2019,Prozent,Sexuelle Belästigung,,,,,,0.0098
2020,Prozent,Sexuelle Belästigung,,,,,,0.0113
2021,Prozent,Sexuelle Belästigung,,,|,,,0.011
2022,Prozent,Sexuelle Belästigung,,,,,,0.0117
2023,Prozent,Sexuelle Belästigung,,,,,,0.0122
2024,Prozent,Sexuelle Belästigung,,,,,,0.0129
2010,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0159
2011,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0172
2012,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.018
2013,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0177
2014,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0179
2015,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0176
2016,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0181
2017,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0175
2018,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0183
2019,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0164
2020,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0191
2021,Prozent,Sexuelle Belästigung,,Weiblich,|,,,0.0185
2022,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0195
2023,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.02
2024,Prozent,Sexuelle Belästigung,,Weiblich,,,,0.0209
2010,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0022
2011,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0025
2012,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0023
2013,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0023
2014,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0025
2015,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0024
2016,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0027
2017,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0027
2018,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0029
2019,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0029
2020,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0033
2021,Prozent,Sexuelle Belästigung,,Männlich,|,0,,0.0034
2022,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0037
2023,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0042
2024,Prozent,Sexuelle Belästigung,,Männlich,0,,,0.0047
2010,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2011,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2012,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2013,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2014,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2015,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2016,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2017,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2018,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2019,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2020,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0
2021,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,|,0,,0.0005
2022,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0013
2023,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0012
2024,Prozent,Sexuelle Belästigung,13 Jahre und jünger,,0,,,0.0013
